,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier
0,0,0.6747855392156862,0.6747855392156862,0.67,0.67,0.67,0.6645735217163788,0.664573521716379,"[[18, 4, 1, 2], [2, 19, 1, 3], [1, 4, 19, 1], [6, 5, 3, 11]]",0.6923076923076923,0.72,0.6666666666666666,0.6666666666666666,0.76,0.59375,0.7755102040816326,0.76,0.7916666666666666,0.5238095238095238,0.44,0.6470588235294118,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False)
0,1,0.7003708439897699,0.6999793329716604,0.7070833333333334,0.7070707070707071,0.7070707070707071,0.6936678515618292,0.6933674838471089,"[[17, 5, 1, 2], [0, 25, 0, 0], [1, 2, 17, 4], [7, 2, 5, 11]]",0.68,0.68,0.68,0.8474576271186441,1.0,0.7352941176470589,0.723404255319149,0.7083333333333334,0.7391304347826086,0.5238095238095238,0.44,0.6470588235294118,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False)
0,2,0.6238721804511278,0.6251234145970989,0.6220833333333334,0.6262626262626263,0.6262626262626263,0.5977059598542975,0.6007725084683931,"[[19, 4, 1, 1], [2, 21, 0, 2], [2, 4, 17, 2], [7, 9, 3, 5]]",0.6909090909090909,0.76,0.6333333333333333,0.6666666666666667,0.84,0.5526315789473685,0.7391304347826089,0.68,0.8095238095238095,0.29411764705882354,0.20833333333333334,0.5,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}",MultinomialNB(fit_prior=False)
0,3,0.6206837606837607,0.6205559872226538,0.6279166666666667,0.6262626262626263,0.6262626262626263,0.6188716623600344,0.6180147730535328,"[[19, 1, 3, 1], [5, 16, 2, 2], [1, 2, 17, 5], [5, 6, 4, 10]]",0.7037037037037038,0.7916666666666666,0.6333333333333333,0.64,0.64,0.64,0.6666666666666666,0.68,0.6538461538461539,0.46511627906976744,0.4,0.5555555555555556,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False)
0,4,0.6525910364145657,0.6519678578502108,0.6683333333333333,0.6666666666666666,0.6666666666666666,0.6536249464820892,0.6524572108987693,"[[16, 3, 3, 3], [2, 20, 0, 2], [0, 1, 21, 3], [6, 4, 6, 9]]",0.6530612244897959,0.64,0.6666666666666666,0.7692307692307692,0.8333333333333334,0.7142857142857143,0.7636363636363636,0.84,0.7,0.42857142857142855,0.36,0.5294117647058824,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False)
0,0,0.6083442653673163,0.6083442653673163,0.62,0.62,0.62,0.6046391384966481,0.6046391384966481,"[[12, 4, 4, 5], [2, 21, 1, 1], [2, 2, 20, 1], [7, 2, 7, 9]]",0.4999999999999999,0.48,0.5217391304347826,0.7777777777777777,0.84,0.7241379310344828,0.7017543859649122,0.8,0.625,0.43902439024390244,0.36,0.5625,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": false, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)"
0,1,0.6697314425224663,0.6693882883691203,0.6679166666666666,0.6666666666666666,0.6666666666666666,0.6621189173343757,0.6612807443860795,"[[16, 7, 1, 1], [3, 19, 1, 2], [0, 2, 19, 3], [4, 3, 6, 12]]",0.6666666666666666,0.64,0.6956521739130435,0.6785714285714285,0.76,0.6129032258064516,0.7450980392156864,0.7916666666666666,0.7037037037037037,0.5581395348837209,0.48,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)"
0,2,0.6560460678751533,0.6574027036068743,0.655,0.6565656565656566,0.6565656565656566,0.6537982663514578,0.6552443266391257,"[[16, 2, 3, 4], [2, 18, 0, 5], [3, 1, 19, 2], [1, 4, 7, 12]]",0.6808510638297872,0.64,0.7272727272727273,0.72,0.72,0.72,0.7037037037037037,0.76,0.6551724137931034,0.5106382978723404,0.5,0.5217391304347826,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)"
0,3,0.749782608695652,0.7496794027228809,0.7379166666666667,0.7373737373737373,0.7373737373737373,0.7350346614186974,0.7346258175534154,"[[19, 0, 3, 2], [5, 15, 3, 2], [0, 1, 22, 2], [1, 2, 5, 17]]",0.7755102040816326,0.7916666666666666,0.76,0.6976744186046512,0.6,0.8333333333333334,0.7586206896551725,0.88,0.6666666666666666,0.7083333333333334,0.68,0.7391304347826086,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)"
0,4,0.5128901895206244,0.5125153429501256,0.5145833333333333,0.5151515151515151,0.5151515151515151,0.5112633689839572,0.5113771403878355,"[[16, 4, 2, 3], [8, 11, 2, 3], [2, 0, 15, 8], [4, 5, 7, 9]]",0.5818181818181818,0.64,0.5333333333333333,0.5,0.4583333333333333,0.55,0.5882352941176471,0.6,0.5769230769230769,0.37499999999999994,0.36,0.391304347826087,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""2"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={2: 4}, random_state=42)"
